RNAcentral:URS00003768C5_9606	Homo sapiens (human) hsa-miR-92a-3p		GO:0097699	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""CL:0002618"", ""label"": ""endothelial cell of umbilical vein""}}"	BHF-UCL	NCBITaxon:9606	IDA			miRNA		PMID:24255059	20170113
UniProtKB:Q13164	Mitogen-activated protein kinase 7		GO:0071499		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR24055	protein	UniProtKB:Q13164	PMID:20551324	20111121
UniProtKB:Q13164	Mitogen-activated protein kinase 7		GO:0071499		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR24055	protein	UniProtKB:Q13164	PMID:23043106	20121203
UniProtKB:P63092	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short		GO:0097700		Reactome	NCBITaxon:9606	TAS			protein	UniProtKB:P63092	Reactome:R-HSA-9856530	20240323
UniProtKB:Q99571	P2X purinoceptor 4		GO:0034405		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10125	protein	UniProtKB:Q99571	PMID:10969036	20080609
UniProtKB:Q92819	Hyaluronan synthase 2		GO:0071498		BHF-UCL	NCBITaxon:9606	IEP		PANTHER:PTHR22913	protein	UniProtKB:Q92819	PMID:21551265	20120521
UniProtKB:Q15743	G-protein coupled receptor 68		GO:0034405		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BFQ3|ensembl:ENSMUSP00000105693	PANTHER:PTHR24234	protein	UniProtKB:Q15743	GO_REF:0000107	20250313
UniProtKB:Q15743	G-protein coupled receptor 68		GO:0034405		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR24234	protein	UniProtKB:Q15743	PMID:29677517	20250306
UniProtKB:Q05397	Focal adhesion kinase 1		GO:0097706		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24418	protein	UniProtKB:Q05397	Reactome:R-HSA-9860927	20241116
UniProtKB:P17655	Calpain-2 catalytic subunit		GO:0097700		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR10183	protein	UniProtKB:P17655	Reactome:R-HSA-9856530	20241117
UniProtKB:P17655	Calpain-2 catalytic subunit		GO:0097706		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR10183	protein	UniProtKB:P17655	Reactome:R-HSA-9860927	20241117
ComplexPortal:CPX-658	Actin junctional complex		GO:0034405		ComplexPortal	NCBITaxon:9606	NAS			protein_complex		PMID:37895291	20241210
UniProtKB:P12931	Proto-oncogene tyrosine-protein kinase Src		GO:0071498		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P05480|ensembl:ENSMUSP00000105159	PANTHER:PTHR24418	protein	UniProtKB:P12931	GO_REF:0000107	20250313
UniProtKB:Q15149	Plectin		GO:0071498		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9QXS1|ensembl:ENSMUSP00000075772	PANTHER:PTHR23169	protein	UniProtKB:Q15149	GO_REF:0000107	20250313
UniProtKB:P22694	cAMP-dependent protein kinase catalytic subunit beta		GO:0097700		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24353	protein	UniProtKB:P22694	Reactome:R-HSA-9856530	20241117
UniProtKB:P29474	Nitric oxide synthase 3		GO:0034405		BHF-UCL	NCBITaxon:9606	IEP		PANTHER:PTHR19384	protein	UniProtKB:P29474	PMID:10376603	20080725
UniProtKB:P08253	72 kDa type IV collagenase		GO:0071498		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P33436|ensembl:ENSRNOP00000022679	PANTHER:PTHR10201	protein	UniProtKB:P08253	GO_REF:0000107	20250313
RNAcentral:URS00001D69F6_9606	Homo sapiens (human) hsa-miR-126-5p		GO:0071499	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""CL:0000071"", ""label"": ""blood vessel endothelial cell""}}"	BHF-UCL	NCBITaxon:9606	ISS	RNAcentral:URS00001D69F6_10090		miRNA		GO_REF:0000024	20171018
UniProtKB:Q13563	Polycystin-2		GO:0071498		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O35245|ensembl:ENSMUSP00000084041	PANTHER:PTHR10877	protein	UniProtKB:Q13563	GO_REF:0000107	20250313
UniProtKB:Q13563	Polycystin-2		GO:0071498		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00092255	PANTHER:PTHR10877	protein	UniProtKB:Q13563	GO_REF:0000117	20250428
UniProtKB:Q13563	Polycystin-2		GO:0071498		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR10877	protein	UniProtKB:Q13563	PMID:19265036	20120118
UniProtKB:O15530	3-phosphoinositide-dependent protein kinase 1		GO:0097700		Reactome	NCBITaxon:9606	TAS		PANTHER:PTHR24356	protein	UniProtKB:O15530	Reactome:R-HSA-9856530	20241117
UniProtKB:O15379	Histone deacetylase 3		GO:0071498		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10625	protein	UniProtKB:O15379	PMID:25190803	20141110
UniProtKB:P04141	Granulocyte-macrophage colony-stimulating factor		GO:0034405		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P48750|ensembl:ENSRNOP00000034235	PANTHER:PTHR10059	protein	UniProtKB:P04141	GO_REF:0000107	20250313
UniProtKB:O15105	Mothers against decapentaplegic homolog 7		GO:0034616		UniProt	NCBITaxon:9606	IEA	ARBA:ARBA00092017	PANTHER:PTHR13703	protein	UniProtKB:O15105	GO_REF:0000117	20250428
UniProtKB:O15105	Mothers against decapentaplegic homolog 7		GO:0034616		BHF-UCL	NCBITaxon:9606	IEP		PANTHER:PTHR13703	protein	UniProtKB:O15105	PMID:9256479	20090211
UniProtKB:Q13163	Dual specificity mitogen-activated protein kinase kinase 5		GO:0071499		BHF-UCL	NCBITaxon:9606	TAS		PANTHER:PTHR48013	protein	UniProtKB:Q13163	PMID:20551324	20111121
UniProtKB:P00966	Argininosuccinate synthase		GO:0071499	"{""relationship"": {""relation"": [{""id"": ""BFO:0000066"", ""label"": ""occurs in""}], ""id"": ""CL:0002544"", ""label"": ""aortic endothelial cell""}}"	BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR11587	protein	UniProtKB:P00966	PMID:21106532	20140519
UniProtKB:Q06413	Myocyte-specific enhancer factor 2C		GO:0071498		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q8CFN5	PANTHER:PTHR11945	protein	UniProtKB:Q06413	GO_REF:0000024	20110823
