UniProtKB:Q05655	Protein kinase C delta type		GO:0090331		UniProt	NCBITaxon:9606	ISS	UniProtKB:P28867	PANTHER:PTHR24356	protein	UniProtKB:Q05655	GO_REF:0000024	20111209
UniProtKB:Q05655	Protein kinase C delta type		GO:0090331		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P28867|ensembl:ENSMUSP00000107829	PANTHER:PTHR24356	protein	UniProtKB:Q05655	GO_REF:0000107	20250313
UniProtKB:P04004	Vitronectin		GO:0030195		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR22917	protein	UniProtKB:P04004	PMID:1695900	20250215
UniProtKB:Q8TF42	Ubiquitin-associated and SH3 domain-containing protein B		GO:0090331		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BGG7|ensembl:ENSMUSP00000043865	PANTHER:PTHR16469	protein	UniProtKB:Q8TF42	GO_REF:0000107	20250313
UniProtKB:Q8IZT8	Heparan sulfate glucosamine 3-O-sulfotransferase 5		GO:0050819		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10605	protein	UniProtKB:Q8IZT8	PMID:12138164	20040430
UniProtKB:P02675	Fibrinogen beta chain		GO:0042730		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR19143	protein	UniProtKB:P02675	PMID:16846481	20150430
UniProtKB:P02649	Apolipoprotein E		GO:0010544		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR18976	protein	UniProtKB:P02649	PMID:8995232	20080314
UniProtKB:P02649	Apolipoprotein E		GO:0030195		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR18976	protein	UniProtKB:P02649	PMID:8995232	20080212
UniProtKB:Q8TE60	A disintegrin and metalloproteinase with thrombospondin motifs 18		GO:0090331		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q4VC17|ensembl:ENSMUSP00000090801	PANTHER:PTHR13723	protein	UniProtKB:Q8TE60	GO_REF:0000107	20250313
UniProtKB:Q8TE60	A disintegrin and metalloproteinase with thrombospondin motifs 18		GO:0090331		MGI	NCBITaxon:9606	IDA		PANTHER:PTHR13723	protein	UniProtKB:Q8TE60	PMID:19218546	20140509
