UniProtKB:P78329	Cytochrome P450 4F2		GO:0003095		UniProt	NCBITaxon:9606	IEP		PANTHER:PTHR24291	protein	UniProtKB:P78329	PMID:10660572	20120127
UniProtKB:Q9HCS2	Cytochrome P450 4F12		GO:0003095		UniProt	NCBITaxon:9606	ISS	UniProtKB:P78329	PANTHER:PTHR24291	protein	UniProtKB:Q9HCS2	GO_REF:0000024	20120130
UniProtKB:P02766	Transthyretin		GO:0003105		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P07309|ensembl:ENSMUSP00000074783	PANTHER:PTHR10395	protein	UniProtKB:P02766	GO_REF:0000107	20250313
UniProtKB:P80365	11-beta-hydroxysteroid dehydrogenase type 2		GO:0002017		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P50233|ensembl:ENSRNOP00000023130	PANTHER:PTHR43313	protein	UniProtKB:P80365	GO_REF:0000107	20250313
UniProtKB:Q9UQ03	Coronin-2B		GO:0003093		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8BH44|ensembl:ENSMUSP00000041826	PANTHER:PTHR10856	protein	UniProtKB:Q9UQ03	GO_REF:0000107	20250313
UniProtKB:P54851	Epithelial membrane protein 2		GO:0003093		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR10671	protein	UniProtKB:P54851	PMID:24814193	20140904
UniProtKB:P30542	Adenosine receptor A1		GO:0003093		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q60612|ensembl:ENSMUSP00000083656	PANTHER:PTHR24246	protein	UniProtKB:P30542	GO_REF:0000107	20250313
UniProtKB:P19099	Cytochrome P450 11B2, mitochondrial		GO:0002017		BHF-UCL	NCBITaxon:9606	IMP		PANTHER:PTHR24279	protein	UniProtKB:P19099	PMID:14614232	20080812
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003093		UniProt	NCBITaxon:9606	ISS	UniProtKB:E9Q612	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000024	20111005
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003093		Ensembl	NCBITaxon:9606	IEA	UniProtKB:E9Q612|ensembl:ENSMUSP00000076364	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000107	20250313
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003105		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q28613	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000024	20111213
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003105		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q62797	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000024	20111216
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003105		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q62797|ensembl:ENSRNOP00000044055	PANTHER:PTHR47028	protein	UniProtKB:Q16827	GO_REF:0000107	20250313
UniProtKB:Q16827	Receptor-type tyrosine-protein phosphatase O		GO:0003093		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002931512|RGD:62068|MGI:MGI:1097152	PANTHER:PTHR47028	protein		GO_REF:0000033	20200214
UniProtKB:Q14393	Growth arrest-specific protein 6		GO:0003104		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q63772	PANTHER:PTHR24040	protein	UniProtKB:Q14393	GO_REF:0000024	20120224
UniProtKB:Q14393	Growth arrest-specific protein 6		GO:0003104		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q63772|ensembl:ENSRNOP00000024677	PANTHER:PTHR24040	protein	UniProtKB:Q14393	GO_REF:0000107	20250313
UniProtKB:P13498	Cytochrome b-245 light chain		GO:0003106		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q62737|ensembl:ENSRNOP00000017564	PANTHER:PTHR15168	protein	UniProtKB:P13498	GO_REF:0000107	20250313
UniProtKB:Q02928	Cytochrome P450 4A11		GO:0003095		UniProt	NCBITaxon:9606	IEP		PANTHER:PTHR24291	protein	UniProtKB:Q02928	PMID:10660572	20120127
UniProtKB:P25116	Proteinase-activated receptor 1		GO:0003105		UniProt	NCBITaxon:9606	ISS	UniProtKB:P26824	PANTHER:PTHR24232	protein	UniProtKB:P25116	GO_REF:0000024	20120210
UniProtKB:P36382	Gap junction alpha-5 protein		GO:0003105		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P28234|ensembl:ENSRNOP00000023488	PANTHER:PTHR11984	protein	UniProtKB:P36382	GO_REF:0000107	20250313
UniProtKB:P01127	Platelet-derived growth factor subunit B		GO:0003104		UniProt	NCBITaxon:9606	ISS	UniProtKB:P31240	PANTHER:PTHR11633	protein	UniProtKB:P01127	GO_REF:0000024	20110314
UniProtKB:P55085	Proteinase-activated receptor 2		GO:0003104		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q63645	PANTHER:PTHR24232	protein	UniProtKB:P55085	GO_REF:0000024	20120210
UniProtKB:P55085	Proteinase-activated receptor 2		GO:0003104		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q63645|ensembl:ENSRNOP00000058298	PANTHER:PTHR24232	protein	UniProtKB:P55085	GO_REF:0000107	20250313
