UniProtKB:P68400	Casein kinase II subunit alpha		GO:0051879		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR24054	protein	UniProtKB:P68400	PMID:19387550	20111207
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P53042|ensembl:ENSRNOP00000023078	PANTHER:PTHR45668	protein	UniProtKB:P53041	GO_REF:0000107	20250313
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0051879		CAFA	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR45668	protein	UniProtKB:P53041	PMID:15713458	20170110
UniProtKB:P53041	Serine/threonine-protein phosphatase 5		GO:0051879		CAFA	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR45668	protein	UniProtKB:P53041	PMID:15713458	20170110
UniProtKB:O94966	Ubiquitin carboxyl-terminal hydrolase 19		GO:0051879		ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR21646	protein	UniProtKB:O94966	PMID:24356957	20150430
UniProtKB:Q99743	Neuronal PAS domain-containing protein 2		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR46055	protein	UniProtKB:Q99743	PMID:9079689	20080522
UniProtKB:P23396	Small ribosomal subunit protein uS3		GO:0051879		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11760	protein	UniProtKB:P23396	PMID:23911537	20150929
UniProtKB:Q16665	Hypoxia-inducible factor 1-alpha		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR23043	protein	UniProtKB:Q16665	PMID:9079689	20080522
UniProtKB:Q92574	Hamartin		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR15154	protein	UniProtKB:Q92574	PMID:29127155	20180306
UniProtKB:Q92574	Hamartin		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900|UniProtKB:P49815	PANTHER:PTHR15154	protein	UniProtKB:Q92574	PMID:29127155	20180306
UniProtKB:Q9BY41	Histone deacetylase 8		GO:0051879		BHF-UCL	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR10625	protein	UniProtKB:Q9BY41	PMID:16809764	20151117
UniProtKB:Q9BY41	Histone deacetylase 8		GO:0051879		BHF-UCL	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR10625	protein	UniProtKB:Q9BY41	PMID:16809764	20151117
UniProtKB:P55011	Solute carrier family 12 member 2		GO:0051879		ARUK-UCL	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR11827	protein	UniProtKB:P55011	PMID:15347682	20200114
UniProtKB:Q15185	Prostaglandin E synthase 3		GO:0051879		InterPro	NCBITaxon:9606	IEA	InterPro:IPR045250	PANTHER:PTHR22932	protein	UniProtKB:Q15185	GO_REF:0000002	20250429
UniProtKB:Q15185	Prostaglandin E synthase 3		GO:0051879		CAFA	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR22932	protein	UniProtKB:Q15185	PMID:10543959	20170110
UniProtKB:Q15185	Prostaglandin E synthase 3		GO:0051879		CAFA	NCBITaxon:9606	IPI	UniProtKB:P08238	PANTHER:PTHR22932	protein	UniProtKB:Q15185	PMID:10811660	20170110
UniProtKB:Q15185	Prostaglandin E synthase 3		GO:0051879		BHF-UCL	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR22932	protein	UniProtKB:Q15185	PMID:19740745	20161212
UniProtKB:Q15185	Prostaglandin E synthase 3		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000532593|TAIR:locus:504955859|RGD:1561913|TAIR:locus:2133269|UniProtKB:Q15185	PANTHER:PTHR22932	protein		GO_REF:0000033	20220924
UniProtKB:Q8IWX7	Protein unc-45 homolog B		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q8CGY6|ensembl:ENSMUSP00000103795	PANTHER:PTHR45994	protein	UniProtKB:Q8IWX7	GO_REF:0000107	20250313
UniProtKB:Q8IWX7	Protein unc-45 homolog B		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002339981|MGI:MGI:2142246|MGI:MGI:2443377	PANTHER:PTHR45994	protein		GO_REF:0000033	20220323
UniProtKB:P04150	Glucocorticoid receptor		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:Q18688	PANTHER:PTHR48092	protein	UniProtKB:P04150	PMID:26593036	20170317
UniProtKB:E9PB15	Putative protein PTGES3L		GO:0051879		InterPro	NCBITaxon:9606	IEA	InterPro:IPR045250	PANTHER:PTHR22932	protein	UniProtKB:E9PB15	GO_REF:0000002	20250429
UniProtKB:E9PB15	Putative protein PTGES3L		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000532593|TAIR:locus:504955859|RGD:1561913|TAIR:locus:2133269|UniProtKB:Q15185	PANTHER:PTHR22932	protein		GO_REF:0000033	20220924
UniProtKB:Q96M98	Parkin coregulated gene protein		GO:0051879		ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR21207	protein	UniProtKB:Q96M98	PMID:14532270	20140918
UniProtKB:Q96M98	Parkin coregulated gene protein		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000476437|UniProtKB:Q96M98	PANTHER:PTHR21207	protein		GO_REF:0000033	20170502
UniProtKB:Q9UNE7	E3 ubiquitin-protein ligase CHIP		GO:0051879		HGNC-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR46803	protein	UniProtKB:Q9UNE7	PMID:11146632	20070418
UniProtKB:Q9UNE7	E3 ubiquitin-protein ligase CHIP		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR46803	protein	UniProtKB:Q9UNE7	PMID:11146632	20090803
UniProtKB:Q9NZJ5	Eukaryotic translation initiation factor 2-alpha kinase 3		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9Z1Z1|ensembl:ENSRNOP00000008451	PANTHER:PTHR11042	protein	UniProtKB:Q9NZJ5	GO_REF:0000107	20250313
UniProtKB:O75344	Inactive peptidyl-prolyl cis-trans isomerase FKBP6		GO:0051879		UniProt	NCBITaxon:9606	ISS	UniProtKB:Q91XW8	PANTHER:PTHR46674	protein	UniProtKB:O75344	GO_REF:0000024	20140307
UniProtKB:O75344	Inactive peptidyl-prolyl cis-trans isomerase FKBP6		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q91XW8|ensembl:ENSMUSP00000144381	PANTHER:PTHR46674	protein	UniProtKB:O75344	GO_REF:0000107	20250313
UniProtKB:O75344	Inactive peptidyl-prolyl cis-trans isomerase FKBP6		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000828519|MGI:MGI:2137612	PANTHER:PTHR46674	protein		GO_REF:0000033	20220330
UniProtKB:Q9UBN7	Protein deacetylase HDAC6		GO:0051879		BHF-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR10625	protein	UniProtKB:Q9UBN7	PMID:15916966	20090724
UniProtKB:Q9Y4R8	Telomere length regulation protein TEL2 homolog		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900	PANTHER:PTHR15830	protein	UniProtKB:Q9Y4R8	PMID:20864032	20151020
UniProtKB:Q9Y4R8	Telomere length regulation protein TEL2 homolog		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000406418|UniProtKB:Q9Y4R8	PANTHER:PTHR15830	protein		GO_REF:0000033	20190524
UniProtKB:P49815	Tuberin		GO:0051879		UniProt	NCBITaxon:9606	IPI	UniProtKB:P07900|UniProtKB:Q92574	PANTHER:PTHR10063	protein	UniProtKB:P49815	PMID:29127155	20180306
UniProtKB:O95801	Tetratricopeptide repeat protein 4		GO:0051879		InterPro	NCBITaxon:9606	IEA	InterPro:IPR044059	PANTHER:PTHR46035	protein	UniProtKB:O95801	GO_REF:0000002	20250429
UniProtKB:O95801	Tetratricopeptide repeat protein 4		GO:0051879		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002340063|FB:FBgn0266518|SGD:S000000359|TAIR:locus:2020225	PANTHER:PTHR46035	protein		GO_REF:0000033	20220323
UniProtKB:Q16543	Hsp90 co-chaperone Cdc37		GO:0051879		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q61081|ensembl:ENSMUSP00000019615	PANTHER:PTHR12800	protein	UniProtKB:Q16543	GO_REF:0000107	20250313
UniProtKB:O75460	Serine/threonine-protein kinase/endoribonuclease IRE1		GO:0051879		ParkinsonsUK-UCL	NCBITaxon:9606	IDA		PANTHER:PTHR13954	protein	UniProtKB:O75460	PMID:12446770	20150217
