UniProtKB:P16860	Natriuretic peptides B		GO:0007589		UniProt	NCBITaxon:9606	TAS		PANTHER:PTHR14066	protein	UniProtKB:P16860	PMID:14960748	20040308
UniProtKB:O15554	Intermediate conductance calcium-activated potassium channel protein 4		GO:0046541		Ensembl	NCBITaxon:9606	IEA	UniProtKB:O89109|ensembl:ENSMUSP00000133065	PANTHER:PTHR10153	protein	UniProtKB:O15554	GO_REF:0000107	20250313
UniProtKB:O15244	Solute carrier family 22 member 2		GO:0007589		PINC	NCBITaxon:9606	TAS		PANTHER:PTHR24064	protein	UniProtKB:O15244	PMID:9260930	20030904
UniProtKB:P63027	Vesicle-associated membrane protein 2	not	GO:0070254		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR45701	protein	UniProtKB:P63027	PMID:22144578	20141120
UniProtKB:Q15788	Nuclear receptor coactivator 1		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:A0A8I6GLM3|ensembl:ENSRNOP00000095436	PANTHER:PTHR10684	protein	UniProtKB:Q15788	GO_REF:0000107	20250313
UniProtKB:Q9HCU4	Cadherin EGF LAG seven-pass G-type receptor 2		GO:0033326		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q9R0M0|ensembl:ENSMUSP00000088046	PANTHER:PTHR24026	protein	UniProtKB:Q9HCU4	GO_REF:0000107	20250313
UniProtKB:P51692	Signal transducer and activator of transcription 5B		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P42232|ensembl:ENSMUSP00000102981	PANTHER:PTHR11801	protein	UniProtKB:P51692	GO_REF:0000107	20250313
UniProtKB:Q15648	Mediator of RNA polymerase II transcription subunit 1		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q925J9|ensembl:ENSMUSP00000103169	PANTHER:PTHR12881	protein	UniProtKB:Q15648	GO_REF:0000107	20250313
UniProtKB:P07498	Kappa-casein		GO:0007595		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR11470	protein	UniProtKB:P07498	PMID:7979373	20140603
UniProtKB:P07498	Kappa-casein		GO:0007595		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN000895253|UniProtKB:P07498|MGI:MGI:107461	PANTHER:PTHR11470	protein		GO_REF:0000033	20170228
UniProtKB:Q02817	Mucin-2		GO:0070254		UniProt	NCBITaxon:9606	IMP		PANTHER:PTHR11339	protein	UniProtKB:Q02817	PMID:17058067	20221005
UniProtKB:Q16665	Hypoxia-inducible factor 1-alpha		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q61221|ensembl:ENSMUSP00000021530	PANTHER:PTHR23043	protein	UniProtKB:Q16665	GO_REF:0000107	20250313
UniProtKB:Q02643	Growth hormone-releasing hormone receptor		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P32082|ensembl:ENSMUSP00000068120	PANTHER:PTHR45620	protein	UniProtKB:Q02643	GO_REF:0000107	20250313
UniProtKB:Q16878	Cysteine dioxygenase type 1		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P21816|ensembl:ENSRNOP00000000172	PANTHER:PTHR12918	protein	UniProtKB:Q16878	GO_REF:0000107	20250313
UniProtKB:Q08345	Epithelial discoidin domain-containing receptor 1		GO:0007595		UniProt	NCBITaxon:9606	IEA	UniProtKB-KW:KW-0421	PANTHER:PTHR24416	protein	UniProtKB:Q08345	GO_REF:0000043	20250428
UniProtKB:Q01959	Sodium-dependent dopamine transporter		GO:0007595		Ensembl	NCBITaxon:9606	IEA	UniProtKB:Q61327|ensembl:ENSMUSP00000022100	PANTHER:PTHR11616	protein	UniProtKB:Q01959	GO_REF:0000107	20250313
UniProtKB:P19835	Bile salt-activated lipase		GO:0030157		UniProt	NCBITaxon:9606	IDA		PANTHER:PTHR43903	protein	UniProtKB:P19835	PMID:1854805	20040408
UniProtKB:P19835	Bile salt-activated lipase		GO:0030157		GO_Central	NCBITaxon:9606	IBA	PANTHER:PTN002889324|UniProtKB:P19835	PANTHER:PTHR43903	protein		GO_REF:0000033	20220407
UniProtKB:P02808	Statherin		GO:0046541		UniProt	NCBITaxon:9606	NAS		PANTHER:PTHR15057	protein	UniProtKB:P02808	PMID:1718282	20030114
UniProtKB:Q8TAU0	Homeobox protein Nkx-2.3		GO:0046541		Ensembl	NCBITaxon:9606	IEA	UniProtKB:P97334|ensembl:ENSMUSP00000050933	PANTHER:PTHR24340	protein	UniProtKB:Q8TAU0	GO_REF:0000107	20250313
